Latitude	Longitude	Name	Dome Camera	Button Camera	Police Box	Notes	Region	URL
42.3611946	-71.0724051	Charles/MGH 1	1				Beacon Hill	https://www.google.com/maps/@42.3611946,-71.0724051,3a,32.3y,9.97h,98.73t/data=!3m6!1e1!3m4!1s00EdHCNppk_qmLllK2PfPg!2e0!7i16384!8i8192
42.3608637	-71.0710007	Charles/MGH 2	1				Beacon Hill	https://www.google.com/maps/@42.3608637,-71.0710007,3a,38.4y,314.08h,96.18t/data=!3m6!1e1!3m4!1sq2wIppo51TBskoS3Kq3TXg!2e0!7i16384!8i8192
42.360723	-71.070889	Charles/MGH 3	1				Beacon Hill	https://www.google.com/maps/@42.360723,-71.070889,3a,75y,273.89h,96.33t/data=!3m6!1e1!3m4!1sHE8ZEyPmFajrzjXqnpuQNA!2e0!7i16384!8i8192
42.3612132	-71.0669912	Cambridge and Blossom	1				Beacon Hill	https://www.google.com/maps/@42.3612132,-71.0669912,3a,75y,296.84h,99.25t/data=!3m6!1e1!3m4!1sbLG6u3TjAO9crSCsu9mXOw!2e0!7i16384!8i8192
42.3611067	-71.0685764	Cambridge and Grove	1				Beacon Hill	https://www.google.com/maps/@42.3611067,-71.0685764,3a,32.8y,193.83h,99.26t/data=!3m6!1e1!3m4!1sOCHHt9NEcwl8YPZJ6JZWtQ!2e0!7i16384!8i8192
42.3613173	-71.0629772	Cambridge and New Chardon	1				Beacon Hill	https://www.google.com/maps/@42.3613173,-71.0629772,3a,45y,335.99h,100.31t/data=!3m6!1e1!3m4!1sBiOy8ii2twNE_zCRzE1cKg!2e0!7i16384!8i8192
42.3579692	-71.0604518	Tremont and Beacon	1				Beacon Hill	https://www.google.com/maps/@42.3579692,-71.0604518,3a,43.4y,264.37h,104.08t/data=!3m6!1e1!3m4!1seKRdkF_G1qEDDTS2O8Oq_Q!2e0!7i16384!8i8192
42.3579506	-71.0626614	Beacon and Bowdoin	1				Beacon Hill	https://www.google.com/maps/@42.3579506,-71.0626614,3a,75y,25.65h,95.93t/data=!3m6!1e1!3m4!1savXymshk0EEEm5DwWVNUHQ!2e0!7i16384!8i8192
42.3525426	-71.0674896	Charles and Boylston	1				Beacon Hill	https://www.google.com/maps/@42.3525426,-71.0674896,3a,75y,27.19h,99.86t/data=!3m6!1e1!3m4!1sGxPX1qvMmOMapLqofZm-Fw!2e0!7i16384!8i8192
42.3553988	-71.0633365	Park Street MBTA	1				Beacon Hill	https://www.google.com/maps/@42.3553988,-71.0633365,2a,75y,355.34h,83.59t/data=!3m6!1e1!3m4!1sF-gJC9MtWc_mCGc6Q7N0Xw!2e0!7i13312!8i6656
42.3560764	-71.0624433	Tremont 2	1				Beacon Hill	https://www.google.com/maps/@42.3560764,-71.0624433,3a,75y,139.02h,85.1t/data=!3m6!1e1!3m4!1s-AIlAPkL6ZEN-FzIP2XTXQ!2e0!7i16384!8i8192
42.3562521	-71.0622644	Tremont and Winter 2	2				Beacon Hill	https://www.google.com/maps/@42.3562521,-71.0622644,3a,75y,301.37h,80.57t/data=!3m6!1e1!3m4!1saBpMiHmPgXKgsy5UT7MG8w!2e0!7i16384!8i8192
42.3575689	-71.0637229	Beacon	1				Beacon Hill	https://www.google.com/maps/@42.3575689,-71.0637229,3a,29.4y,125.84h,99.5t/data=!3m6!1e1!3m4!1s8AH89zyuy9a1Qufv_8WuBA!2e0!7i16384!8i8192
42.3571714	-71.0651321	Beacon and Joy	1				Beacon Hill	https://www.google.com/maps/@42.3571714,-71.0651321,3a,75y,163.05h,83.72t/data=!3m6!1e1!3m4!1szsuQfs8Fm8ZX9Cif7K4G1Q!2e0!7i16384!8i8192
